District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
Southeastern Regional Vocational Technical,08720000,       349,    98.0,     0.6,     0.0,     0.3,     1.1,     0.0
Southern Berkshire,07650000,        42,    90.5,     2.4,     2.4,     0.0,     4.8,     0.0
Southern Worcester County Regional Vocational Technical,08760000,       277,    95.3,     1.8,     0.4,     0.0,     2.5,     0.0
Southwick-Tolland-Granville Regional School District,07660000,       124,    96.8,     1.6,     0.8,     0.8,     0.0,     0.0
Spencer-E Brookfield,07670000,        99,    87.9,     6.1,     0.0,     1.0,     5.1,     0.0
Springfield,02810000,"     1,883",    73.8,     7.9,     4.2,     0.8,    13.3,     0.0
Stoneham,02840000,       179,    92.7,     4.5,     0.0,     0.0,     2.8,     0.0
Stoughton,02850000,       287,    87.1,     5.9,     0.3,     0.0,     6.6,     0.0
Sturgis Charter Public (District),04890000,       197,    98.5,     1.0,     0.0,     0.0,     0.5,     0.0
Sutton,02900000,       102,    96.1,     2.0,     0.0,     0.0,     2.0,     0.0
Swampscott,02910000,       175,    94.9,     5.1,     0.0,     0.0,     0.0,     0.0
Swansea,02920000,       134,    97.8,     2.2,     0.0,     0.0,     0.0,     0.0
Tantasqua,07700000,       278,    93.5,     1.4,     2.2,     0.4,     2.5,     0.0
Taunton,02930000,       543,    89.7,     2.4,     1.8,     0.0,     6.1,     0.0
TEC Connections Academy Commonwealth Virtual School District,39020000,       455,    39.8,    17.1,     0.4,     6.2,    36.5,     0.0
Tewksbury,02950000,       255,    94.9,     3.1,     0.0,     0.0,     2.0,     0.0
Tri-County Regional Vocational Technical,08780000,       243,    97.9,     0.8,     0.0,     0.0,     1.2,     0.0
Triton,07730000,       175,    94.3,     3.4,     0.6,     0.0,     1.7,     0.0
Tyngsborough,03010000,       126,    96.8,     1.6,     0.0,     0.0,     1.6,     0.0
Upper Cape Cod Regional Vocational Technical,08790000,       158,    98.7,     0.6,     0.0,     0.0,     0.6,     0.0
Uxbridge,03040000,       149,    83.9,    10.1,     0.0,     1.3,     4.7,     0.0
Wachusett,07750000,       571,    96.1,     2.3,     0.0,     0.2,     1.4,     0.0
Wakefield,03050000,       234,    96.2,     2.6,     0.4,     0.4,     0.4,     0.0
Walpole,03070000,       301,    95.3,     4.3,     0.0,     0.0,     0.3,     0.0
Waltham,03080000,       411,    82.5,     4.9,     1.9,     0.5,    10.2,     0.0
Ware,03090000,        81,    74.1,     7.4,     1.2,     1.2,    16.0,     0.0
Wareham,03100000,       155,    68.4,    13.5,     1.9,     0.0,    15.5,     0.6
Watertown,03140000,       163,    90.2,     5.5,     0.0,     0.0,     4.3,     0.0
Wayland,03150000,       212,    96.7,     1.4,     0.0,     0.9,     0.9,     0.0
Webster,03160000,       123,    78.9,     7.3,     2.4,     0.8,    10.6,     0.0
Wellesley,03170000,       389,    97.7,     1.5,     0.0,     0.0,     0.5,     0.3
West Boylston,03220000,        66,    90.9,     1.5,     0.0,     0.0,     7.6,     0.0
West Bridgewater,03230000,       102,    98.0,     2.0,     0.0,     0.0,     0.0,     0.0
West Springfield,03320000,       292,    89.7,     4.8,     0.0,     0.7,     4.8,     0.0
Westborough,03210000,       272,    97.1,     1.5,     0.0,     0.4,     1.1,     0.0
Westfield,03250000,       401,    88.0,     3.7,     2.5,     0.2,     5.5,     0.0
Westford,03260000,       448,    98.4,     0.7,     0.0,     0.0,     0.9,     0.0
Weston,03300000,       197,    99.0,     1.0,     0.0,     0.0,     0.0,     0.0
Westport,03310000,        98,    95.9,     0.0,     0.0,     1.0,     3.1,     0.0
Westwood,03350000,       265,    98.1,     1.9,     0.0,     0.0,     0.0,     0.0
Weymouth,03360000,       503,    85.3,     5.8,     0.0,     0.6,     8.3,     0.0
Whitman-Hanson,07800000,       295,    93.9,     4.7,     0.0,     0.0,     1.4,     0.0
Whittier Regional Vocational Technical,08850000,       322,    97.5,     0.0,     0.0,     0.3,     2.2,     0.0
Wilmington,03420000,       215,    95.8,     1.4,     1.9,     0.0,     0.9,     0.0
Winchendon,03430000,        95,    82.1,    14.7,     0.0,     0.0,     3.2,     0.0
Winchester,03440000,       308,    96.4,     1.6,     0.6,     0.6,     0.6,     0.0
Winthrop,03460000,       171,    88.3,     2.3,     1.8,     1.2,     6.4,     0.0
Woburn,03470000,       367,    91.6,     2.5,     0.8,     0.3,     4.9,     0.0
Worcester,03480000,"     1,876",    83.6,     6.4,     2.0,     0.5,     7.6,     0.0
State Totals,00000000,"    75,067",    88.0,     5.0,     1.2,     0.5,     5.3,     0.0
