District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Mohawk Trail,07170000,  94.1,   6.3,  18.6,  15.4,   9.5
Monomoy Regional School District,07120000,  95.0,   5.4,  15.0,  11.6,   9.3
Monson,01910000,  94.9,   5.5,  15.9,  13.3,   5.5
Montachusett Regional Vocational Technical,08320000,  95.5,   5.0,  12.2,  10.5,   6.4
Mount Greylock,07150000,  95.5,   4.8,  12.4,  10.2,   2.0
Mystic Valley Regional Charter (District),04700000,  97.1,   3.5,   8.1,   3.9,   2.1
Nahant,01960000,  95.0,   5.6,  17.2,  12.1,   5.1
Nantucket,01970000,  94.8,   5.4,  15.5,  12.9,   4.7
Narragansett,07200000,  94.5,   5.7,  15.6,  13.1,   7.8
Nashoba,07250000,  95.5,   4.9,  10.1,   8.0,   0.0
Nashoba Valley Regional Vocational Technical,08520000,  96.9,   3.4,   4.3,   1.7,   1.7
Natick,01980000,  95.9,   4.5,   8.9,   5.7,   0.6
Nauset,06600000,  94.0,   6.4,  19.5,  16.5,  13.8
Needham,01990000,  96.1,   4.2,   8.3,   6.5,   0.0
Neighborhood House Charter (District),04440000,  95.2,   5.6,  17.8,  12.1,   0.0
New Bedford,02010000,  93.8,   6.6,  22.6,  20.0,  16.6
New Heights Charter School of Brockton (District),35130000,  96.6,   4.3,  11.9,   7.6,   0.0
New Salem-Wendell,07280000,  94.9,   5.6,  15.6,  15.0,   0.0
Newburyport,02040000,  95.6,   4.7,  10.5,   8.2,   0.0
Newton,02070000,  95.5,   4.9,  12.8,   9.0,   1.2
Norfolk,02080000,  96.4,   4.0,   6.6,   4.0,   0.4
Norfolk County Agricultural,09150000,  94.9,   5.6,  14.3,  11.8,  10.5
North Adams,02090000,  93.7,   6.6,  21.8,  20.1,  11.0
North Andover,02110000,  96.0,   4.2,   9.8,   8.5,   0.0
North Attleborough,02120000,  95.1,   5.2,  12.9,  10.9,   6.8
North Brookfield,02150000,  95.4,   5.9,  16.4,   9.2,  16.0
North Middlesex,07350000,  94.7,   5.7,  15.5,  13.3,   9.4
North Reading,02170000,  96.4,   3.9,   7.8,   6.3,   0.3
Northampton,02100000,  94.6,   5.8,  16.2,  13.4,   7.6
Northampton-Smith Vocational Agricultural,04060000,  95.2,   5.1,  14.4,  13.4,   8.2
Northboro-Southboro,07300000,  94.9,   5.5,  14.4,  12.2,   1.7
Northborough,02130000,  95.9,   4.4,  10.4,   8.0,   1.2
Northbridge,02140000,  95.2,   5.1,  14.2,  12.8,   7.6
Northeast Metropolitan Regional Vocational Technical,08530000,  95.5,   5.0,  12.7,   9.6,   7.9
Northern Berkshire Regional Vocational Technical,08510000,  94.5,   5.9,  19.5,  16.0,  18.7
Norton,02180000,  95.0,   5.5,  16.1,  10.5,   7.8
Norwell,02190000,  95.5,   4.7,   9.4,   6.6,   4.4
Norwood,02200000,  94.8,   5.5,  15.1,  13.6,  12.2
Oak Bluffs,02210000,  95.1,   5.1,  12.5,  11.3,   0.0
